UserID,Age,Gender,VRHeadset,Duration,MotionSickness,ImmersionLevel,Riesgo_Mareo
1,40,Male,Htc Vive,13.59850822622312,8,5,Alto Riesgo
2,43,Female,Htc Vive,19.950814982037045,2,2,Bajo Riesgo
3,27,Male,Playstation Vr,16.543387403445806,4,2,Bajo Riesgo
4,33,Male,Htc Vive,42.57408329936264,6,3,Alto Riesgo
5,51,Male,Playstation Vr,22.452646660410768,4,2,Bajo Riesgo
6,46,Other,Oculus Rift,28.284971508682087,7,4,Alto Riesgo
7,49,Other,Oculus Rift,52.298300530611705,7,3,Alto Riesgo
8,42,Other,Oculus Rift,22.95941607305977,8,2,Alto Riesgo
9,56,Female,Playstation Vr,16.858710163062334,5,1,Bajo Riesgo
10,60,Male,Oculus Rift,34.470606224394096,5,4,Bajo Riesgo
11,37,Male,Oculus Rift,43.369076173206025,2,1,Bajo Riesgo
12,23,Other,Playstation Vr,25.109776419378324,8,4,Alto Riesgo
13,45,Male,Playstation Vr,58.135515249597866,5,3,Bajo Riesgo
14,28,Female,Playstation Vr,25.98475653246694,5,5,Bajo Riesgo
15,23,Male,Htc Vive,57.14737170483026,7,4,Alto Riesgo
16,34,Female,Oculus Rift,44.69653881983199,1,3,Bajo Riesgo
17,48,Male,Playstation Vr,22.86465198740359,10,5,Alto Riesgo
18,54,Male,Playstation Vr,36.80742591920735,4,2,Bajo Riesgo
19,35,Other,Oculus Rift,48.29172371093784,10,1,Alto Riesgo
20,27,Other,Oculus Rift,15.796858663495978,7,2,Alto Riesgo
21,25,Other,Oculus Rift,36.50105563997955,10,1,Alto Riesgo
22,57,Male,Oculus Rift,23.584564309552,4,3,Bajo Riesgo
23,38,Female,Oculus Rift,35.34748381756607,4,5,Bajo Riesgo
24,60,Female,Oculus Rift,44.650802883781175,10,5,Alto Riesgo
25,41,Other,Playstation Vr,5.284614604786615,5,5,Bajo Riesgo
26,28,Female,Playstation Vr,26.694855666660157,9,1,Alto Riesgo
27,60,Other,Oculus Rift,15.264069296488367,3,3,Bajo Riesgo
28,24,Male,Htc Vive,34.09273884345478,7,3,Alto Riesgo
29,30,Other,Htc Vive,57.409610908285664,4,4,Bajo Riesgo
30,59,Female,Oculus Rift,11.516564009860105,6,3,Alto Riesgo
31,31,Male,Oculus Rift,32.520598741098595,7,1,Alto Riesgo
32,25,Other,Htc Vive,20.997101664056203,6,3,Alto Riesgo
33,39,Female,Playstation Vr,18.35110287398228,1,5,Bajo Riesgo
34,49,Male,Playstation Vr,28.80686780874029,10,1,Alto Riesgo
35,23,Other,Playstation Vr,20.103585377837604,3,1,Bajo Riesgo
36,53,Female,Oculus Rift,45.49614799594853,10,5,Alto Riesgo
37,54,Other,Oculus Rift,37.72750377275237,5,3,Bajo Riesgo
38,41,Male,Oculus Rift,52.72082314860701,3,4,Bajo Riesgo
39,43,Female,Playstation Vr,6.115949163934541,10,3,Alto Riesgo
40,45,Other,Playstation Vr,39.828380778093,9,2,Alto Riesgo
41,30,Female,Playstation Vr,10.312469511647471,9,4,Alto Riesgo
42,33,Male,Htc Vive,40.54652247600933,5,1,Bajo Riesgo
43,53,Female,Htc Vive,6.417383142271446,3,2,Bajo Riesgo
44,19,Other,Playstation Vr,14.899367933909812,10,1,Alto Riesgo
45,51,Female,Playstation Vr,58.525514227701095,10,5,Alto Riesgo
46,41,Other,Playstation Vr,19.296934502467558,6,4,Alto Riesgo
47,39,Female,Htc Vive,21.0427613626076,2,4,Bajo Riesgo
48,29,Female,Playstation Vr,14.866675032647931,6,4,Alto Riesgo
49,37,Female,Oculus Rift,46.19613981805462,8,5,Alto Riesgo
50,36,Female,Oculus Rift,13.861580093962896,5,1,Bajo Riesgo
51,49,Female,Oculus Rift,16.850728486892848,2,4,Bajo Riesgo
52,34,Other,Oculus Rift,41.024921730814576,7,3,Alto Riesgo
53,46,Other,Playstation Vr,48.887564989273706,6,2,Alto Riesgo
54,54,Male,Htc Vive,53.91962373315263,5,2,Bajo Riesgo
